110,4.49E+08,Academy Di Capelli-School of Cosmetology                              ,Main Campus                                                           ,950 Yale Ave Unit 20                                                      ,Wallingford         ,CT,6492,9,"Private for-profit, less-than 2-year",7,22,29,A ,0,0,0,0,0,0,0,0,0,0,0,0
113,4.45E+08,Expertise Cosmetology Institute                                       ,Main Campus                                                           ,1911 Stella Lake Street                                                   ,LAS VEGAS           ,NV,89106,5,"Private nonprofit, 2-year           ",0,29,29,A ,0,0,0,0,0,0,0,0,0,0,0,0
114,4.76E+08,Regency Beauty Institute-Lewisville                                   ,Regency Beauty Institute                                              ,"2325 S Stemmons Freeway, Ste 404                                          ",Lewisville          ,TX,7.51E+08,9,"Private for-profit, less-than 2-year",0,29,29,A ,0,0,0,0,0,0,0,2,0,0,0,0
115,4.76E+08,Regency Beauty Institute-San Antonio                                  ,Regency Beauty Institute                                              ,309 North West Loop 410 Suite 1                                           ,San Antonio         ,TX,7.82E+08,9,"Private for-profit, less-than 2-year",1,28,29,A ,0,0,0,0,0,0,0,1,0,0,0,0
116,3.68E+08,Alexandria School of Scientific Therapeutics                          ,Main Campus                                                           ,809 S HARRISON ST                                                         ,ALEXANDRIA          ,IN,4.60E+08,9,"Private for-profit, less-than 2-year",6,24,30,A ,0,0,0,0,0,0,0,0,0,0,0,0
118,1.11E+08,California Christian College                                          ,Main Campus                                                           ,4881 E UNIVERSITY AVE                                                     ,FRESNO              ,CA,9.37E+08,2,"Private nonprofit, 4-year or above  ",19,11,30,A ,0,0,0,0,0,0,0,0,0,0,0,0
119,1.66E+08,Henris School of Hair Design                                          ,Main Campus                                                           ,276 WATER ST                                                              ,FITCHBURG           ,MA,1.42E+07,9,"Private for-profit, less-than 2-year",0,30,30,A ,0,0,0,0,0,0,0,0,0,0,0,0
120,4.41E+08,Interactive Learning Systems-Pasadena                                 ,Interactive College of Technology                                     ,213 W. Southmore  Suite 101                                               ,PASADENA            ,TX,77502,6,"Private for-profit, 2-year          ",8,22,30,A ,0,0,0,0,0,0,0,0,0,0,0,0
121,4.38E+08,InterCoast Colleges-Burbank                                           ,Burbank Branch Campus                                                 ,175 East Olive Avenue - third floor                                       ,Burbank             ,CA,91502,9,"Private for-profit, less-than 2-year",25,5,30,B ,0,0,0,0,0,1,0,0,0,0,0,0
124,3.77E+08,Southern Institute of Cosmetology                                     ,MAIN                                                                  ,3099 S PERKINS                                                            ,MEMPHIS             ,TN,3.81E+08,9,"Private for-profit, less-than 2-year",10,20,30,A ,0,0,0,0,0,0,0,0,0,0,0,0
125,4.59E+08,The Artisan College of Cosmetology                                    ,Main Campus                                                           ,1645 Tiffin Ave.                                                          ,Findlay             ,OH,45840,6,"Private for-profit, 2-year          ",3,27,30,A ,0,0,0,0,0,0,0,0,0,0,0,0
127,2.02E+08,Carousel Beauty College-Dayton                                        ,Main Campus                                                           ,125 E SECOND ST                                                           ,DAYTON              ,OH,45402,6,"Private for-profit, 2-year          ",2,29,31,A ,0,0,0,0,0,0,0,0,0,0,0,0
129,2.12E+08,Empire Beauty School-Lebanon                                          ,Empire Beauty School                                                  ,1776 QUENTIN RD CEDAR CREST SQ                                            ,LEBANON             ,PA,17042,9,"Private for-profit, less-than 2-year",0,31,31,A ,0,0,0,0,0,0,0,0,0,0,0,0
130,4.61E+08,Galaxy Medical College                                                ,Main Campus                                                           ,"6400 Laurel Canyon Boulevard, Suite 270                                   ",North Hollywood     ,CA,9.16E+08,9,"Private for-profit, less-than 2-year",9,22,31,A ,0,0,0,0,0,0,0,0,0,0,0,0
131,3.67E+08,Interactive Learning Systems-Houston                                  ,Interactive College of Technology                                     ,6200 HILLCROFT AVE STE 200                                                ,HOUSTON             ,TX,7.71E+08,6,"Private for-profit, 2-year          ",9,22,31,A ,0,0,0,0,0,0,0,0,0,0,0,0
133,2.45E+08,Traxlers School of Hair                                               ,Main Campus                                                           ,2845 SUNCREST DR                                                          ,JACKSON             ,MS,39212,9,"Private for-profit, less-than 2-year",22,9,31,A ,0,0,0,0,0,0,0,0,0,0,0,0
135,1.84E+08,duCret School of Arts                                                 ,Main Campus                                                           ,1030 CENTRAL AVE                                                          ,PLAINFIELD          ,NJ,7060,5,"Private nonprofit, 2-year           ",8,24,32,A ,0,0,0,0,0,0,1,0,0,0,0,0
137,1.93E+08,Marion S Whelan School of Nursing of Geneva General Hospital          ,Main Campus                                                           ,196 NORTH ST                                                              ,GENEVA              ,NY,1.45E+08,8,"Private nonprofit, less-than 2-year ",6,26,32,A ,0,0,0,0,0,0,0,0,0,0,0,0
138,1.83E+08,New Hampshire Institute for Therapeutic Arts                          ,Main Campus                                                           ,153 LOWELL RD                                                             ,HUDSON              ,NH,3051,9,"Private for-profit, less-than 2-year",3,29,32,A ,0,0,0,0,0,0,0,0,0,0,0,0
140,4.58E+08,Aiken School of Cosmetology                                           ,Aiken School of Cosmetology                                           ,225 Richland Ave East                                                     ,Aiken               ,SC,29801,9,"Private for-profit, less-than 2-year",0,33,33,A ,0,0,0,0,0,0,0,0,0,0,0,0
144,2.30E+08,Evans Hairstyling College-Cedar City                                  ,Main Campus                                                           ,169 No. 100 We.                                                           ,CEDAR CITY          ,UT,84720,6,"Private for-profit, 2-year          ",3,30,33,A ,0,0,0,0,0,0,0,0,0,0,0,0
147,4.58E+08,Master Educators Beauty School                                        ,Main Campus                                                           ,1205 Filer Ave E                                                          ,Twin Falls          ,ID,83301,6,"Private for-profit, 2-year          ",0,33,33,A ,0,0,0,0,0,0,0,0,0,0,0,0
148,2.04E+08,Northern Institute of Cosmetology                                     ,Northern Institute of Cosmetology                                     ,669 BROADWAY                                                              ,LORAIN              ,OH,4.41E+08,9,"Private for-profit, less-than 2-year",5,28,33,A ,0,0,0,0,0,0,0,0,0,0,0,0
149,2.43E+08,Rogies School of Beauty Culture                                       ,Main Campus                                                           ,AVE PONCE DE LEON 1315                                                    ,SANTURCE            ,PR,910,9,"Private for-profit, less-than 2-year",6,27,33,A ,0,0,0,0,0,0,1,0,0,0,0,0
150,2.01E+08,Akron School of Practical Nursing                                     ,Akron School of Practical Nursing                                     ,1532 Peckham Street                                                       ,AKRON               ,OH,44320,7,"Public, less-than 2-year            ",5,29,34,A ,0,0,0,0,0,0,9,0,0,0,0,0
151,2.02E+08,Carousel of Miami Valley Beauty College                               ,Main Campus                                                           ,7809 WAYNETOWNE BLVD                                                      ,HUBER HEIGHTS       ,OH,45424,6,"Private for-profit, 2-year          ",2,32,34,A ,0,0,0,0,0,0,0,0,0,0,0,0
153,4.61E+08,Cosmetic Arts Institute                                               ,Main Campus                                                           ,1789 Hampton Street                                                       ,Walterboro          ,SC,2.95E+08,9,"Private for-profit, less-than 2-year",2,32,34,A ,0,0,0,0,0,0,0,0,0,0,0,0
154,4.62E+08,Elite School of Cosmetology                                           ,Main Campus                                                           ,175 Benedict Avenue                                                       ,Norwalk             ,OH,4.49E+08,6,"Private for-profit, 2-year          ",0,34,34,A ,0,0,0,0,0,0,0,0,0,0,0,0
156,4.57E+08,Florida School of Traditional Midwifery                               ,Main Campus                                                           ,810 E University Ave                                                      ,Gainesville         ,FL,32601,5,"Private nonprofit, 2-year           ",0,34,34,A ,0,0,0,0,0,0,0,0,0,0,0,0
160,4.60E+08,ABC Beauty Academy                                                    ,Main Campus                                                           ,1841 N Jupiter Rd Ste 120                                                 ,Garland             ,TX,75042,9,"Private for-profit, less-than 2-year",2,33,35,A ,0,0,0,0,0,0,0,0,0,0,0,0
164,1.69E+08,Hillsdale Beauty College                                              ,Main Campus                                                           ,64 WALDRON ST                                                             ,HILLSDALE           ,MI,49242,9,"Private for-profit, less-than 2-year",1,34,35,A ,0,0,0,0,0,0,0,0,0,0,0,0
166,4.08E+08,Pioneer Career and Technology Center                                  ,Main Campus                                                           ,27 RYAN RD                                                                ,SHELBY              ,OH,4.49E+08,7,"Public, less-than 2-year            ",13,22,35,A ,0,0,0,0,0,0,0,0,0,0,0,0
170,4.46E+08,Wards Corner Beauty Academy-Virginia Beach                            ,Branch Campus                                                         ,544 Newtown Rd.                                                           ,Virginia Beach      ,VA,23462,9,"Private for-profit, less-than 2-year",2,33,35,A ,0,0,0,0,0,0,0,0,0,0,0,0
171,2.38E+08,Wood County School of Practical Nursing                               ,West Virginia University of Parkersburg                               ,300 Campus Drive                                                          ,Parkersburg         ,WV,26104,7,"Public, less-than 2-year            ",1,34,35,A ,0,0,0,0,0,0,0,0,0,0,0,0
172,4.19E+08,Ailano School of Cosmetology                                          ,Main Campus                                                           ,541 WEST ST                                                               ,BROCKTON            ,MA,2301,9,"Private for-profit, less-than 2-year",0,36,36,A ,0,0,0,0,0,0,0,0,0,0,0,0
173,2.37E+08,B M Spurr School of Practical Nursing                                 ,Main Campus                                                           ,800 WHEELING AVE                                                          ,GLEN DALE           ,WV,26038,8,"Private nonprofit, less-than 2-year ",3,33,36,B ,0,0,0,0,0,0,0,0,0,0,0,0
174,4.46E+08,Central State Massage Academy                                         ,Main Campus                                                           ,8494 NORTHWEST EXPRESSWAY                                                 ,OKLAHOMA CITY       ,OK,73162,9,"Private for-profit, less-than 2-year",6,30,36,A ,0,0,0,0,0,0,0,0,0,0,0,0
175,1.90E+08,Continental School of Beauty Culture-Batavia                          ,Main Campus                                                           ,215 MAIN ST                                                               ,BATAVIA             ,NY,14020,9,"Private for-profit, less-than 2-year",1,35,36,A ,0,0,0,0,0,0,0,0,0,0,0,0
176,4.45E+08,Health Works Institute                                                ,Main Campus                                                           ,407 West Main Street                                                      ,BOZEMAN             ,MT,59715,9,"Private for-profit, less-than 2-year",0,36,36,A ,0,0,0,0,0,0,0,0,0,0,0,0
